"","k","n","f","alpha","power"
"452",3,95.0559790719685,0.25,0.025,0.45
"352",3,146.40061751429,0.2,0.025,0.45
"252",3,257.356311062059,0.15,0.025,0.45
"152",3,574.404776598434,0.1,0.025,0.45
"753",3,43.505926151936,0.4,0.025,0.5
"653",3,55.6297355985806,0.35,0.025,0.5
"553",3,74.3268254845305,0.3,0.025,0.5
"453",3,105.354441116948,0.25,0.025,0.5
"353",3,162.494840716423,0.2,0.025,0.5
"253",3,285.970808104531,0.15,0.025,0.5
"153",3,638.789612783738,0.1,0.025,0.5
"754",3,47.7253726381308,0.4,0.025,0.55
"654",3,61.1439517345025,0.35,0.025,0.55
"554",3,81.8353262225308,0.3,0.025,0.55
"454",3,116.169490457089,0.25,0.025,0.55
"354",3,179.395950499392,0.2,0.025,0.55
"254",3,316.019507775148,0.15,0.025,0.55
"154",3,706.401108227651,0.1,0.025,0.55
"755",3,52.2196438012207,0.4,0.025,0.6
"655",3,67.0169740828891,0.35,0.025,0.6
"555",3,89.8319310312798,0.3,0.025,0.6
"455",3,127.687214602004,0.25,0.025,0.6
"355",3,197.394732526305,0.2,0.025,0.6
"255",3,348.019369283865,0.15,0.025,0.6
"155",3,778.402570996416,0.1,0.025,0.6
"756",3,57.0836573654734,0.4,0.025,0.65
"656",3,73.3727214860117,0.35,0.025,0.65
"556",3,98.4854507326962,0.3,0.025,0.65
"456",3,140.150696547189,0.25,0.025,0.65
"356",3,216.871091266677,0.2,0.025,0.65
"256",3,382.645926167245,0.15,0.025,0.65
"156",3,856.313986880476,0.1,0.025,0.65
"757",3,62.4499242587179,0.4,0.025,0.7
"657",3,80.3844081045806,0.35,0.025,0.7
"557",3,108.031638324225,0.3,0.025,0.7
"457",3,153.899550904768,0.25,0.025,0.7
"357",3,238.35574025158,0.2,0.025,0.7
"257",3,420.842662961335,0.15,0.025,0.7
"157",3,942.258177492994,0.1,0.025,0.7
"758",3,68.5172967316523,0.4,0.025,0.75
"658",3,88.311778802552,0.35,0.025,0.75
"558",3,118.824150411657,0.3,0.025,0.75
"458",3,169.443021588976,0.25,0.025,0.75
"358",3,262.644432304221,0.2,0.025,0.75
"258",3,464.024301296689,0.15,0.025,0.75
"158",3,1039.41834982063,0.1,0.025,0.75
"759",3,75.6107049788492,0.4,0.025,0.8
"659",3,97.5793149384049,0.35,0.025,0.8
"559",3,131.440783176209,0.3,0.025,0.8
"459",3,187.613233227613,0.25,0.025,0.8
"359",3,291.037390437684,0.2,0.025,0.8
"259",3,514.502402938606,0.15,0.025,0.8
"159",3,1152.99555000847,0.1,0.025,0.8
"760",3,10.7882409125619,0.4,0.03,0.1
"660",3,12.8947900048824,0.35,0.03,0.1
"560",3,16.1568923829076,0.3,0.03,0.1
"460",3,21.5932825914427,0.25,0.03,0.1
"360",3,31.6405541623127,0.2,0.03,0.1
"260",3,53.4043130783531,0.15,0.03,0.1
"160",3,115.669764905463,0.1,0.03,0.1
"761",3,14.9270338815402,0.4,0.03,0.15
"661",3,18.3088105019921,0.35,0.03,0.15
"561",3,23.5416832283211,0.3,0.03,0.15
"461",3,32.2497008729707,0.25,0.03,0.15
"361",3,48.3181896810348,0.2,0.03,0.15
"261",3,83.0826000597852,0.15,0.03,0.15
"161",3,182.474802911854,0.1,0.03,0.15
"762",3,18.7715731239636,0.4,0.03,0.2
"662",3,23.340292841131,0.35,0.03,0.2
"562",3,30.4028507147879,0.3,0.03,0.2
"462",3,42.1443574698858,0.25,0.03,0.2
"362",3,63.7939708245577,0.2,0.03,0.2
"262",3,110.61016330459,0.15,0.03,0.2
"162",3,244.425814894889,0.1,0.03,0.2
"763",3,22.463664781633,0.4,0.03,0.25
"663",3,28.1711810799603,0.35,0.03,0.25
"563",3,36.9879065089316,0.3,0.03,0.25
"463",3,51.6370307723311,0.25,0.03,0.25
"363",3,78.6364110874929,0.2,0.03,0.25
"263",3,137.006291281576,0.15,0.03,0.25
"163",3,303.825781034237,0.1,0.03,0.25
"764",3,26.0887080297684,0.4,0.03,0.3
"664",3,32.9130533139564,0.35,0.03,0.3
"564",3,43.4496872882521,0.3,0.03,0.3
"464",3,60.9496442179173,0.25,0.03,0.3
"364",3,93.1948209959286,0.2,0.03,0.3
"264",3,162.89468717854,0.15,0.03,0.3
"164",3,362.080717236223,0.1,0.03,0.3
"765",3,29.7085305546623,0.4,0.03,0.35
"665",3,37.6469669927395,0.35,0.03,0.35
"565",3,49.8992168004573,0.3,0.03,0.35
"465",3,70.2430570281233,0.25,0.03,0.35
"365",3,107.721425105572,0.2,0.03,0.35
"265",3,188.724997021729,0.15,0.03,0.35
"165",3,420.20349289941,0.1,0.03,0.35
"766",3,33.374536474574,0.4,0.03,0.4
"666",3,42.4403968507251,0.35,0.03,0.4
"566",3,56.4287870518029,0.3,0.03,0.4
"466",3,79.6506353551707,0.25,0.03,0.4
"366",3,122.425421564496,0.2,0.03,0.4
"266",3,214.869529479745,0.15,0.03,0.4
"166",3,479.032298356795,0.1,0.03,0.4
"767",3,37.1351675386671,0.4,0.03,0.45
